ticker,name,sector,cap_tier,avg_volume,exchange
NVDA,NVIDIA Corporation,Technology,Mega-Cap,183611588,NMS
GOOGL,Alphabet Inc.,Communication Services,Mega-Cap,36463311,NMS
AAPL,Apple Inc.,Technology,Mega-Cap,46223512,NMS
MSFT,Microsoft Corporation,Technology,Mega-Cap,23998909,NMS
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Mega-Cap,44772259,NMS
AVGO,Broadcom Inc.,Technology,Mega-Cap,28638779,NMS
META,"Meta Platforms, Inc.",Communication Services,Mega-Cap,18440453,NMS
TSLA,"Tesla, Inc.",Consumer Cyclical,Mega-Cap,77524254,NMS
BRK-B,Berkshire Hathaway Inc. New,Financial Services,Mega-Cap,4857883,NYQ
LLY,Eli Lilly and Company,Healthcare,Mega-Cap,3523543,NYQ
WMT,Walmart Inc.,Consumer Defensive,Mega-Cap,26642562,NMS
JPM,JP Morgan Chase & Co.,Financial Services,Mega-Cap,9255356,NYQ
V,Visa Inc.,Financial Services,Mega-Cap,6716550,NYQ
SPY,SPDR S&P 500,N/A,Mega-Cap,78657116,PCX
ORCL,Oracle Corporation,Technology,Mega-Cap,24752351,NYQ
XOM,Exxon Mobil Corporation,Energy,Mega-Cap,15693250,NYQ
JNJ,Johnson & Johnson,Healthcare,Mega-Cap,8500188,NYQ
MA,Mastercard Incorporated,Financial Services,Mega-Cap,2908808,NYQ
ASML,ASML Holding N.V. - New York Re,Technology,Mega-Cap,1425793,NMS
PLTR,Palantir Technologies Inc.,Technology,Mega-Cap,45739608,NMS
COST,Costco Wholesale Corporation,Consumer Defensive,Mega-Cap,2677075,NMS
BABA,Alibaba Group Holding Limited,Consumer Cyclical,Mega-Cap,12609795,NYQ
BAC,Bank of America Corporation,Financial Services,Mega-Cap,37249164,NYQ
ABBV,AbbVie Inc.,Healthcare,Mega-Cap,5881238,NYQ
NFLX,"Netflix, Inc.",Communication Services,Mega-Cap,45677190,NMS
MU,"Micron Technology, Inc.",Technology,Mega-Cap,27101433,NMS
HD,"Home Depot, Inc. (The)",Consumer Cyclical,Mega-Cap,4290358,NYQ
AMD,"Advanced Micro Devices, Inc.",Technology,Mega-Cap,41592238,NMS
PG,Procter & Gamble Company (The),Consumer Defensive,Mega-Cap,9886282,NYQ
GE,GE Aerospace,Industrials,Mega-Cap,4341254,NYQ
CVX,Chevron Corporation,Energy,Mega-Cap,9193861,NYQ
KO,Coca-Cola Company (The),Consumer Defensive,Mega-Cap,16787250,NYQ
UNH,UnitedHealth Group Incorporated,Healthcare,Mega-Cap,7353830,NYQ
CAT,"Caterpillar, Inc.",Industrials,Mega-Cap,2578451,NYQ
AZN,Astrazeneca PLC,Healthcare,Mega-Cap,6038025,NMS
CSCO,"Cisco Systems, Inc.",Technology,Mega-Cap,20813382,NMS
IBM,International Business Machines,Technology,Mega-Cap,4736377,NYQ
MS,Morgan Stanley,Financial Services,Mega-Cap,5424632,NYQ
WFC,Wells Fargo & Company,Financial Services,Mega-Cap,14628304,NYQ
GS,"Goldman Sachs Group, Inc. (The)",Financial Services,Mega-Cap,2083453,NYQ
HSBC,"HSBC Holdings, plc.",Financial Services,Mega-Cap,1712087,NYQ
