ticker,name,sector,cap_tier,avg_volume,exchange
NVDA,NVIDIA Corporation,Technology,Mega-Cap,181087637,NMS
AAPL,Apple Inc.,Technology,Mega-Cap,47781611,NMS
GOOGL,Alphabet Inc.,Communication Services,Mega-Cap,34338132,NMS
MSFT,Microsoft Corporation,Technology,Mega-Cap,36411312,NMS
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Mega-Cap,50654203,NMS
AVGO,Broadcom Inc.,Technology,Mega-Cap,26509701,NMS
META,"Meta Platforms, Inc.",Communication Services,Mega-Cap,16060250,NMS
TSLA,"Tesla, Inc.",Consumer Cyclical,Mega-Cap,61566004,NMS
BRK-B,Berkshire Hathaway Inc. New,Financial Services,Mega-Cap,4853706,NYQ
WMT,Walmart Inc.,Consumer Defensive,Mega-Cap,31026485,NMS
LLY,Eli Lilly and Company,Healthcare,Mega-Cap,3229543,NYQ
JPM,JP Morgan Chase & Co.,Financial Services,Mega-Cap,11299638,NYQ
XOM,Exxon Mobil Corporation,Energy,Mega-Cap,22934340,NYQ
SPY,State Street SPDR S&P 500 ETF T,N/A,Mega-Cap,89191143,PCX
JNJ,Johnson & Johnson,Healthcare,Mega-Cap,8869380,NYQ
V,Visa Inc.,Financial Services,Mega-Cap,8151520,NYQ
ASML,ASML Holding N.V. - New York Re,Technology,Mega-Cap,1844009,NMS
MA,Mastercard Incorporated,Financial Services,Mega-Cap,3944864,NYQ
COST,Costco Wholesale Corporation,Consumer Defensive,Mega-Cap,2221287,NMS
ORCL,Oracle Corporation,Technology,Mega-Cap,27259829,NYQ
CVX,Chevron Corporation,Energy,Mega-Cap,13351687,NYQ
NFLX,"Netflix, Inc.",Communication Services,Mega-Cap,49388206,NMS
ABBV,AbbVie Inc.,Healthcare,Mega-Cap,7382701,NYQ
MU,"Micron Technology, Inc.",Technology,Mega-Cap,40774624,NMS
PLTR,Palantir Technologies Inc.,Technology,Mega-Cap,49297461,NMS
BAC,Bank of America Corporation,Financial Services,Mega-Cap,42665411,NYQ
PG,Procter & Gamble Company (The),Consumer Defensive,Mega-Cap,11639238,NYQ
AMD,"Advanced Micro Devices, Inc.",Technology,Mega-Cap,38296682,NMS
CAT,"Caterpillar, Inc.",Industrials,Mega-Cap,2850988,NYQ
HD,"Home Depot, Inc. (The)",Consumer Cyclical,Mega-Cap,4301812,NYQ
KO,Coca-Cola Company (The),Consumer Defensive,Mega-Cap,18550690,NYQ
CSCO,"Cisco Systems, Inc.",Technology,Mega-Cap,24087717,NMS
AZN,AstraZeneca PLC,Healthcare,Mega-Cap,3031729,NYQ
BABA,Alibaba Group Holding Limited,Consumer Cyclical,Mega-Cap,12228619,NYQ
GE,GE Aerospace,Industrials,Mega-Cap,5762533,NYQ
MRK,"Merck & Company, Inc.",Healthcare,Mega-Cap,11943961,NYQ
NVS,Novartis AG,Healthcare,Mega-Cap,2364772,NYQ
HSBC,"HSBC Holdings, plc.",Financial Services,Mega-Cap,2334893,NYQ
AMAT,"Applied Materials, Inc.",Technology,Mega-Cap,7733879,NMS
LRCX,Lam Research Corporation,Technology,Mega-Cap,11894953,NMS
SHEL,Shell PLC,Energy,Mega-Cap,7023831,NYQ
MS,Morgan Stanley,Financial Services,Mega-Cap,7585279,NYQ
RTX,RTX Corporation,Industrials,Mega-Cap,6293238,NYQ
PM,Philip Morris International Inc,Consumer Defensive,Mega-Cap,5424477,NYQ
GS,"Goldman Sachs Group, Inc. (The)",Financial Services,Mega-Cap,2465541,NYQ
WFC,Wells Fargo & Company,Financial Services,Mega-Cap,17592361,NYQ
UNH,UnitedHealth Group Incorporated,Healthcare,Mega-Cap,9739061,NYQ
GEV,GE Vernova Inc.,Industrials,Mega-Cap,2881203,NYQ
TMUS,"T-Mobile US, Inc.",Communication Services,Mega-Cap,6232725,NMS
LIN,Linde plc,Basic Materials,Mega-Cap,2723716,NMS
IBM,International Business Machines,Technology,Mega-Cap,5849251,NYQ
QQQ,"Invesco QQQ Trust, Series 1",N/A,Mega-Cap,65973764,NGM
RY,Royal Bank Of Canada,Financial Services,Mega-Cap,1429745,NYQ
MCD,McDonald's Corporation,Consumer Cyclical,Mega-Cap,3353064,NYQ
INTC,Intel Corporation,Technology,Mega-Cap,108055487,NMS
PEP,"Pepsico, Inc.",Consumer Defensive,Mega-Cap,8009201,NMS
VZ,Verizon Communications Inc.,Communication Services,Mega-Cap,32071346,NYQ
AXP,American Express Company,Financial Services,Mega-Cap,3715682,NYQ
T,AT&T Inc.,Communication Services,Large-Cap,45896580,NYQ
SAP,SAP  SE,Technology,Mega-Cap,3070827,NYQ
C,"Citigroup, Inc.",Financial Services,Mega-Cap,15375806,NYQ
TTE,TotalEnergies SE,Energy,Large-Cap,1979672,NYQ
NEE,"NextEra Energy, Inc.",Utilities,Large-Cap,9976135,NYQ
KLAC,KLA Corporation,Technology,Large-Cap,1129145,NMS
MUFG,"Mitsubishi UFJ Financial Group,",Financial Services,Large-Cap,3897620,NYQ
AMGN,Amgen Inc.,Healthcare,Large-Cap,2825735,NMS
